model_family,checkpoint,amateur_checkpoint,loading_precision,dataset,batch_size,method,expert_method,amateur_method,weighting_parameter,seed,n_shot,sample,expert_accuracy,amateur_accuracy,accuracy
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,multiple_choice_prompt,multiple_choice_prompt,-1.0,0,0,100,0.0000,0.8700,0.0000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,multiple_choice_prompt,multiple_choice_prompt,-1.0,0,0,100,0.5500,0.4200,0.5900
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,multiple_choice_prompt,multiple_choice_prompt,-1.0,0,0,100,0.1000,0.9700,0.0100
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,multiple_choice_prompt,multiple_choice_prompt,-1.0,0,0,100,0.3000,0.2700,0.3000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,multiple_choice_prompt,multiple_choice_prompt,-1.0,0,0,100,0.4700,0.5100,0.4600
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,multiple_choice_prompt,multiple_choice_prompt,-1.0,0,0,100,0.5400,0.5100,0.5000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,language_modeling,language_modeling,-1.0,1,0,100,0.3500,0.3000,0.3100
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,language_modeling,language_modeling,-1.0,1,0,100,0.4800,0.2900,0.4400
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,language_modeling,language_modeling,-1.0,1,0,100,0.8100,0.4900,0.8000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,language_modeling,language_modeling,-1.0,1,0,100,0.3000,0.2200,0.2300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,language_modeling,language_modeling,-1.0,1,0,100,0.3600,0.2800,0.3700
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,language_modeling,language_modeling,-1.0,1,0,100,0.7700,0.6200,0.7500
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,language_modeling,language_modeling,-1.0,1,0,100,0.4000,0.4200,0.5200
